id,comp,question,clean,pos,lemma
16848,0,what does a director of surgery do,what does a director of surgery do,"['WP', 'VBZ', 'DT', 'NN', 'IN', 'NN', 'VB']","['what', 'do', 'a', 'director', 'of', 'surgery', 'do']"
38592,0,what county is collingswood nj,what county is collingswood nj,"['WDT', 'NN', 'VBZ', 'NNP', 'NNP']","['what', 'county', 'be', 'collingswood', 'nj']"
40552,0,what does starling mean,what does starling mean,"['WP', 'VBZ', 'NN', 'VB']","['what', 'do', 'starling', 'mean']"
40573,0,what does sugar do to homeostasis,what does sugar do to homeostasis,"['WP', 'VBZ', 'NN', 'VB', 'IN', 'NN']","['what', 'do', 'sugar', 'do', 'to', 'homeostasis']"
38474,0,what consists in a smile,what consists in a smile,"['WP', 'VBZ', 'IN', 'DT', 'NN']","['what', 'consist', 'in', 'a', 'smile']"
6306,0,who is the bad guy in silence of the lambs,who is the bad guy in silence of the lambs,"['WP', 'VBZ', 'DT', 'JJ', 'NN', 'IN', 'NN', 'IN', 'DT', 'NNS']","['who', 'be', 'the', 'bad', 'guy', 'in', 'silence', 'of', 'the', 'lamb']"
40704,0,what does the name elize mean,what does the name elize mean,"['WP', 'VBZ', 'DT', 'NN', 'NN', 'VB']","['what', 'do', 'the', 'name', 'elize', 'mean']"
10802,0,what flowering plant is hardy for shade,what flowering plant is hardy for shade,"['WDT', 'NN', 'NN', 'VBZ', 'JJ', 'IN', 'NN']","['what', 'flowering', 'plant', 'be', 'hardy', 'for', 'shade']"
30529,0,When Newton's third law fails?,when newton s third law fails,"['WRB', 'NNP', 'POS', 'JJ', 'NN', 'VBZ']","['when', 'newton', ""'s"", 'third', 'law', 'fail']"
19367,0,what does the inr number mean minutes,what does the inr number mean minutes,"['WP', 'VBZ', 'DT', 'NN', 'NN', 'VB', 'NNS']","['what', 'do', 'the', 'inr', 'number', 'mean', 'minute']"
4427,0,who is the angel castiel in the bible,who is the angel castiel in the bible,"['WP', 'VBZ', 'DT', 'NN', 'NN', 'IN', 'DT', 'NN']","['who', 'be', 'the', 'angel', 'castiel', 'in', 'the', 'bible']"
15956,0,what letters are on scrabble tiles,what letters are on scrabble tiles,"['WDT', 'NNS', 'VBP', 'IN', 'NN', 'NNS']","['what', 'letter', 'be', 'on', 'scrabble', 'tile']"
4297,0,where does a thousand splendid suns take place,where does a thousand splendid suns take place,"['WRB', 'VBZ', 'DT', 'CD', 'JJ', 'NNS', 'VB', 'NN']","['where', 'do', 'a', 'thousand', 'splendid', 'sun', 'take', 'place']"
20592,0,why does gun violence happen in restricted area,why does gun violence happen in restricted area,"['WRB', 'VBZ', 'NN', 'NN', 'VB', 'IN', 'VBN', 'NN']","['why', 'do', 'gun', 'violence', 'happen', 'in', 'restrict', 'area']"
26383,0,How is school changing in the 21st century in Palestine?,how is school changing in the 21st century in palestine,"['WRB', 'VBZ', 'NN', 'VBG', 'IN', 'DT', 'JJ', 'NN', 'IN', 'NNP']","['how', 'be', 'school', 'change', 'in', 'the', '21st', 'century', 'in', 'palestine']"
26354,0,How is Hillary Clinton like in person?,how is hillary clinton like in person,"['WRB', 'VBZ', 'NNP', 'NNP', 'IN', 'IN', 'NN']","['how', 'be', 'hillary', 'clinton', 'like', 'in', 'person']"
10742,0,who is nurse cratchit,who is nurse cratchit,"['WP', 'VBZ', 'NN', 'NN']","['who', 'be', 'nurse', 'cratchit']"
25261,0,How did talenthouse.com get initial traction?,how did talenthouse com get initial traction,"['WRB', 'VBD', 'PRP', 'NN', 'VB', 'JJ', 'NN']","['how', 'do', 'talenthouse', 'com', 'get', 'initial', 'traction']"
37400,0,what are some causes of child obesity quizlet growth and development,what are some causes of child obesity quizlet growth and development,"['WP', 'VBP', 'DT', 'NNS', 'IN', 'NN', 'NN', 'NN', 'NN', 'CC', 'NN']","['what', 'be', 'some', 'cause', 'of', 'child', 'obesity', 'quizlet', 'growth', 'and', 'development']"
26817,0,How would you rate Hillary Clinton's job performance as Secretary of State?,how would you rate hillary clinton s job performance as secretary of state,"['WRB', 'MD', 'PRP', 'VB', 'NNP', 'NNP', 'POS', 'NN', 'NN', 'IN', 'NN', 'IN', 'NN']","['how', 'would', 'you', 'rate', 'hillary', 'clinton', ""'s"", 'job', 'performance', 'as', 'secretary', 'of', 'state']"
9070,0,when should a root cause analysis be performed,when should a root cause analysis be performed,"['WRB', 'MD', 'DT', 'NN', 'NN', 'NN', 'VB', 'VBN']","['when', 'should', 'a', 'root', 'cause', 'analysis', 'be', 'perform']"
21422,1,"Which is a better bike for commuting as well as occasional long rides- Street 220, or the Royal Enfield?",which is a better bike for commuting as well as occasional long rides street 220 or the royal enfield,"['WDT', 'VBZ', 'DT', 'JJR', 'NN', 'IN', 'VBG', 'RB', 'RB', 'IN', 'JJ', 'JJ', 'NNS', 'NN', 'CD', 'CC', 'DT', 'NNP', 'NNP']","['which', 'be', 'a', 'better', 'bike', 'for', 'commute', 'as', 'well', 'as', 'occasional', 'long', 'ride', 'street', '220', 'or', 'the', 'royal', 'enfield']"
22797,1,Which is the best book for building Self Esteem and Confidence?,which is the best book for building self esteem and confidence,"['WDT', 'VBZ', 'DT', 'JJS', 'NN', 'IN', 'NN', 'NN', 'NN', 'CC', 'NN']","['which', 'be', 'the', 'best', 'book', 'for', 'building', 'self', 'esteem', 'and', 'confidence']"
38362,0,what city were bonnie and clyde killed in,what city were bonnie and clyde killed in,"['WDT', 'NN', 'VBD', 'NN', 'CC', 'NNP', 'VBD', 'IN']","['what', 'city', 'be', 'bonnie', 'and', 'clyde', 'kill', 'in']"
39490,0,what does a specialist in podiatry do,what does a specialist in podiatry do,"['WP', 'VBZ', 'DT', 'NN', 'IN', 'NN', 'VB']","['what', 'do', 'a', 'specialist', 'in', 'podiatry', 'do']"
3107,1,who scored most goals in a premier league season,who scored most goals in a premier league season,"['WP', 'VBD', 'JJS', 'NNS', 'IN', 'DT', 'NN', 'NN', 'NN']","['who', 'score', 'most', 'goal', 'in', 'a', 'premier', 'league', 'season']"
37599,0,what are the laws for kid,what are the laws for kid,"['WP', 'VBP', 'DT', 'NNS', 'IN', 'NN']","['what', 'be', 'the', 'law', 'for', 'kid']"
24787,0,How can I get admission in coep after completing diploma in mechanical?,how can i get admission in coep after completing diploma in mechanical,"['WRB', 'MD', 'PRP', 'VB', 'NN', 'IN', 'NNP', 'IN', 'VBG', 'NN', 'IN', 'JJ']","['how', 'can', 'i', 'get', 'admission', 'in', 'coep', 'after', 'complete', 'diploma', 'in', 'mechanical']"
39906,0,what does filed by indictment mean,what does filed by indictment mean,"['WP', 'VBZ', 'VBN', 'IN', 'NN', 'NN']","['what', 'do', 'file', 'by', 'indictment', 'mean']"
28683,0,What are the things that a malayalee is proud about?,what are the things that a malayalee is proud about,"['WP', 'VBP', 'DT', 'NNS', 'WDT', 'DT', 'NN', 'VBZ', 'JJ', 'IN']","['what', 'be', 'the', 'thing', 'that', 'a', 'malayalee', 'be', 'proud', 'about']"
13931,0,my brother passed away do i still file his taxes,my brother passed away do i still file his taxes,"['PRP$', 'NN', 'VBD', 'RB', 'VBP', 'PRP', 'RB', 'VB', 'PRP$', 'NNS']","['my', 'brother', 'pass', 'away', 'do', 'i', 'still', 'file', 'he', 'tax']"
1955,0,'who wrote we don''t need another hero',who wrote we don t need another hero,"['WP', 'VBD', 'PRP', 'VBP', 'NNP', 'VBP', 'DT', 'NN']","['who', 'write', 'we', 'don', 't', 'need', 'another', 'hero']"
20038,0,can hrt cause heart palpitations?,can hrt cause heart palpitations,"['MD', 'NNP', 'VB', 'NN', 'NNS']","['can', 'hrt', 'cause', 'heart', 'palpitation']"
23304,1,What are the most interesting facts about Hinduism?,what are the most interesting facts about hinduism,"['WP', 'VBP', 'DT', 'RBS', 'JJ', 'NNS', 'IN', 'NN']","['what', 'be', 'the', 'most', 'interesting', 'fact', 'about', 'hinduism']"
2099,0,who sings the song saturday in the park,who sings the song saturday in the park,"['WP', 'VBZ', 'DT', 'NN', 'NN', 'IN', 'DT', 'NN']","['who', 'sing', 'the', 'song', 'saturday', 'in', 'the', 'park']"
28041,0,Should our knees touch when our feet are together?,should our knees touch when our feet are together,"['MD', 'PRP$', 'NNS', 'VB', 'WRB', 'PRP$', 'NNS', 'VBP', 'RB']","['should', 'we', 'knee', 'touch', 'when', 'we', 'foot', 'be', 'together']"
21078,0,what is a play pump,what is a play pump,"['WP', 'VBZ', 'DT', 'NN', 'NN']","['what', 'be', 'a', 'play', 'pump']"
9757,0,how to change the values of a column in sql,how to change the values of a column in sql,"['WRB', 'TO', 'VB', 'DT', 'NNS', 'IN', 'DT', 'NN', 'IN', 'NNP']","['how', 'to', 'change', 'the', 'value', 'of', 'a', 'column', 'in', 'sql']"
26766,0,How well do Indian students like research in US universities? What is their main motive of taking up research after studying in India?,how well do indian students like research in us universities what is their main motive of taking up research after studying in india,"['WRB', 'RB', 'VB', 'JJ', 'NNS', 'IN', 'NN', 'IN', 'PRP', 'NNS', 'WP', 'VBZ', 'PRP$', 'JJ', 'NN', 'IN', 'VBG', 'RP', 'NN', 'IN', 'VBG', 'IN', 'NNP']","['how', 'well', 'do', 'indian', 'student', 'like', 'research', 'in', 'we', 'university', 'what', 'be', 'they', 'main', 'motive', 'of', 'take', 'up', 'research', 'after', 'study', 'in', 'india']"
27434,0,Is it ever too late for someone to learn how to program?,is it ever too late for someone to learn how to program,"['VBZ', 'PRP', 'RB', 'RB', 'RB', 'IN', 'NN', 'TO', 'VB', 'WRB', 'TO', 'NN']","['be', 'it', 'ever', 'too', 'late', 'for', 'someone', 'to', 'learn', 'how', 'to', 'program']"
37676,0,what are the profits,what are the profits,"['WP', 'VBP', 'DT', 'NNS']","['what', 'be', 'the', 'profit']"
31001,0,Why are you a feminist?,why are you a feminist,"['WRB', 'VBP', 'PRP', 'DT', 'NN']","['why', 'be', 'you', 'a', 'feminist']"
8704,0,how much land does a man need pahom character,how much land does a man need pahom character,"['WRB', 'JJ', 'NN', 'VBZ', 'DT', 'NN', 'VB', 'JJ', 'NN']","['how', 'much', 'land', 'do', 'a', 'man', 'need', 'pahom', 'character']"
12958,0,what is pe cloth,what is pe cloth,"['WP', 'VBZ', 'NN', 'NN']","['what', 'be', 'pe', 'cloth']"
10191,0,how many hat tricks did henry scored for arsenal,how many hat tricks did henry scored for arsenal,"['WRB', 'JJ', 'NN', 'NNS', 'VBD', 'NNP', 'VBN', 'IN', 'NN']","['how', 'many', 'hat', 'trick', 'do', 'henry', 'score', 'for', 'arsenal']"
8414,0,when was the last time osu beat ou,when was the last time osu beat ou,"['WRB', 'VBD', 'DT', 'JJ', 'NN', 'NNP', 'VB', 'NNP']","['when', 'be', 'the', 'last', 'time', 'osu', 'beat', 'ou']"
9879,0,when does chile play in the world cup,when does chile play in the world cup,"['WRB', 'VBZ', 'NNP', 'VB', 'IN', 'DT', 'NN', 'NN']","['when', 'do', 'chile', 'play', 'in', 'the', 'world', 'cup']"
29233,0,What is a pantograph used for?,what is a pantograph used for,"['WP', 'VBZ', 'DT', 'NN', 'VBN', 'IN']","['what', 'be', 'a', 'pantograph', 'use', 'for']"
8227,0,where is kira in season 5 of reba,where is kira in season 5 of reba,"['WRB', 'VBZ', 'NNP', 'IN', 'NN', 'CD', 'IN', 'NNP']","['where', 'be', 'kira', 'in', 'season', '5', 'of', 'reba']"
40060,0,what does interior design iv,what does interior design iv,"['WP', 'VBZ', 'NN', 'NN', 'NN']","['what', 'do', 'interior', 'design', 'iv']"
4632,1,what city is the first to celebrate new years,what city is the first to celebrate new years,"['WDT', 'NN', 'VBZ', 'DT', 'JJ', 'TO', 'VB', 'JJ', 'NNS']","['what', 'city', 'be', 'the', 'first', 'to', 'celebrate', 'new', 'year']"
14609,0,which major trade route between india and china was nicknamed for the type of goods it moved?,which major trade route between india and china was nicknamed for the type of goods it moved,"['WDT', 'JJ', 'NN', 'NN', 'IN', 'NNP', 'CC', 'NNP', 'VBD', 'VBN', 'IN', 'DT', 'NN', 'IN', 'NNS', 'PRP', 'VBD']","['which', 'major', 'trade', 'route', 'between', 'india', 'and', 'china', 'be', 'nickname', 'for', 'the', 'type', 'of', 'goods', 'it', 'move']"
7827,0,when did the movie my girl come out,when did the movie my girl come out,"['WRB', 'VBD', 'DT', 'NN', 'PRP$', 'NN', 'VB', 'RP']","['when', 'do', 'the', 'movie', 'my', 'girl', 'come', 'out']"
3306,0,who stopped the practice of mixing of varnas,who stopped the practice of mixing of varnas,"['WP', 'VBD', 'DT', 'NN', 'IN', 'NN', 'IN', 'NN']","['who', 'stop', 'the', 'practice', 'of', 'mixing', 'of', 'varnas']"
22784,1,Which country is the best to work in? Is it US or Kuwait?,which country is the best to work in is it us or kuwait,"['WDT', 'NN', 'VBZ', 'DT', 'JJS', 'TO', 'VB', 'IN', 'VBZ', 'PRP', 'PRP', 'CC', 'NNP']","['which', 'country', 'be', 'the', 'best', 'to', 'work', 'in', 'be', 'it', 'we', 'or', 'kuwait']"
13966,0,what causes carotid artery blockage,what causes carotid artery blockage,"['WP', 'VBZ', 'NN', 'NN', 'NN']","['what', 'cause', 'carotid', 'artery', 'blockage']"
22869,1,Which is the best phone under ₹15000?,which is the best phone under 15000,"['WDT', 'VBZ', 'DT', 'JJS', 'NN', 'IN', 'CD']","['which', 'be', 'the', 'best', 'phone', 'under', '15000']"
3063,0,when was the original movie the bad seed made,when was the original movie the bad seed made,"['WRB', 'VBD', 'DT', 'JJ', 'NN', 'DT', 'JJ', 'NN', 'VBN']","['when', 'be', 'the', 'original', 'movie', 'the', 'bad', 'seed', 'make']"
25968,0,How do you add topics on Quora?,how do you add topics on quora,"['WRB', 'VBP', 'PRP', 'VB', 'NNS', 'IN', 'NNP']","['how', 'do', 'you', 'add', 'topic', 'on', 'quora']"
27809,0,Is there any year back system in CBCS?,is there any year back system in cbcs,"['VBZ', 'EX', 'DT', 'NN', 'NN', 'NN', 'IN', 'NNP']","['be', 'there', 'any', 'year', 'back', 'system', 'in', 'cbcs']"
22020,1,"Which mantra, and which method should be used to get my lover back if she loves another guy now?",which mantra and which method should be used to get my lover back if she loves another guy now,"['WDT', 'NN', 'CC', 'WDT', 'NN', 'MD', 'VB', 'VBN', 'TO', 'VB', 'PRP$', 'NN', 'RB', 'IN', 'PRP', 'VBZ', 'DT', 'NN', 'RB']","['which', 'mantra', 'and', 'which', 'method', 'should', 'be', 'use', 'to', 'get', 'my', 'lover', 'back', 'if', 'she', 'love', 'another', 'guy', 'now']"
3689,1,what is the biggest super volcano on earth,what is the biggest super volcano on earth,"['WP', 'VBZ', 'DT', 'JJS', 'JJ', 'NN', 'IN', 'NN']","['what', 'be', 'the', 'biggest', 'super', 'volcano', 'on', 'earth']"
3432,1,how are the american declaration of independence and french declaration of the rights of man similar,how are the american declaration of independence and french declaration of the rights of man similar,"['WRB', 'VBP', 'DT', 'JJ', 'NN', 'IN', 'NN', 'CC', 'JJ', 'NN', 'IN', 'DT', 'NNS', 'IN', 'NN', 'JJ']","['how', 'be', 'the', 'american', 'declaration', 'of', 'independence', 'and', 'french', 'declaration', 'of', 'the', 'rights', 'of', 'man', 'similar']"
17734,0,how far can fleas jump,how far can fleas jump,"['WRB', 'RB', 'MD', 'NNS', 'VB']","['how', 'far', 'can', 'fleas', 'jump']"
3407,0,who played tommy in miracle on 34th street,who played tommy in miracle on 34th street,"['WP', 'VBD', 'NN', 'IN', 'NN', 'IN', 'NNP', 'NN']","['who', 'play', 'tommy', 'in', 'miracle', 'on', '34th', 'street']"
38251,0,what causes swelling when you hit an something?,what causes swelling when you hit an something,"['WP', 'VBZ', 'VBG', 'WRB', 'PRP', 'VBP', 'DT', 'NN']","['what', 'cause', 'swell', 'when', 'you', 'hit', 'a', 'something']"
21571,1,Which one is best lens in 70–300 For Nikon?,which one is best lens in 70 300 for nikon,"['WDT', 'NN', 'VBZ', 'JJS', 'NN', 'IN', 'CD', 'CD', 'IN', 'NNP']","['which', 'one', 'be', 'best', 'lens', 'in', '70', '300', 'for', 'nikon']"
22367,1,What are the best true scary stories?,what are the best true scary stories,"['WP', 'VBP', 'DT', 'JJS', 'JJ', 'JJ', 'NNS']","['what', 'be', 'the', 'best', 'true', 'scary', 'storey']"
20386,0,during the american revolution what helped establish the structure,during the american revolution what helped establish the structure,"['IN', 'DT', 'JJ', 'NN', 'WP', 'VBD', 'VB', 'DT', 'NN']","['during', 'the', 'american', 'revolution', 'what', 'help', 'establish', 'the', 'structure']"
12333,0,who wrote: england's fathers bringing home england's exhausted bleeding sons,who wrote england s fathers bringing home england s exhausted bleeding sons,"['WP', 'VBD', 'NNP', 'POS', 'NNS', 'VBG', 'RB', 'NNP', 'POS', 'VBN', 'VBG', 'NNS']","['who', 'write', 'england', ""'s"", 'father', 'bring', 'home', 'england', ""'s"", 'exhaust', 'bleed', 'son']"
29494,0,What is mother's day in your opinion?,what is mother s day in your opinion,"['WP', 'VBZ', 'NN', 'POS', 'NN', 'IN', 'PRP$', 'NN']","['what', 'be', 'mother', ""'s"", 'day', 'in', 'you', 'opinion']"
25804,0,How do I solve the problem of continuous gesture recognition? What algorithms could be used? How?,how do i solve the problem of continuous gesture recognition what algorithms could be used how,"['WRB', 'VBP', 'PRP', 'VB', 'DT', 'NN', 'IN', 'JJ', 'NN', 'NN', 'WDT', 'NNS', 'MD', 'VB', 'VBN', 'WRB']","['how', 'do', 'i', 'solve', 'the', 'problem', 'of', 'continuous', 'gesture', 'recognition', 'what', 'algorithm', 'could', 'be', 'use', 'how']"
39768,0,what does countable income mean,what does countable income mean,"['WP', 'VBZ', 'JJ', 'NN', 'VB']","['what', 'do', 'countable', 'income', 'mean']"
30302,0,What was on IMDb's Top 250 in 2014?,what was on imdb s top 250 in 2014,"['WP', 'VBD', 'IN', 'NNP', 'POS', 'JJ', 'CD', 'IN', 'CD']","['what', 'be', 'on', 'imdb', ""'s"", 'top', '250', 'in', '2014']"
6501,0,who is the voice on the coors banquet commercial,who is the voice on the coors banquet commercial,"['WP', 'VBZ', 'DT', 'NN', 'IN', 'DT', 'NN', 'NN', 'NN']","['who', 'be', 'the', 'voice', 'on', 'the', 'coor', 'banquet', 'commercial']"
6402,0,who was party in the usa written for,who was party in the usa written for,"['WP', 'VBD', 'NN', 'IN', 'DT', 'NNP', 'VBN', 'IN']","['who', 'be', 'party', 'in', 'the', 'usa', 'write', 'for']"
5316,0,when was the first us postage stamp issued,when was the first us postage stamp issued,"['WRB', 'VBD', 'DT', 'JJ', 'PRP', 'NN', 'NN', 'VBN']","['when', 'be', 'the', 'first', 'we', 'postage', 'stamp', 'issue']"
8016,0,who played the mother in little house on the prairie,who played the mother in little house on the prairie,"['WP', 'VBD', 'DT', 'NN', 'IN', 'JJ', 'NN', 'IN', 'DT', 'NN']","['who', 'play', 'the', 'mother', 'in', 'little', 'house', 'on', 'the', 'prairie']"
1695,0,who voices the ugly duckling in chicken little,who voices the ugly duckling in chicken little,"['WP', 'VBZ', 'DT', 'JJ', 'NN', 'IN', 'NN', 'JJ']","['who', 'voice', 'the', 'ugly', 'duckling', 'in', 'chicken', 'little']"
12745,0,how long does a continuance last,how long does a continuance last,"['WRB', 'RB', 'VBZ', 'DT', 'NN', 'JJ']","['how', 'long', 'do', 'a', 'continuance', 'last']"
11816,0,how far is holiday world to hampton inn in jasper indiana,how far is holiday world to hampton inn in jasper indiana,"['WRB', 'RB', 'VBZ', 'NN', 'NN', 'IN', 'NNP', 'NNP', 'IN', 'NNP', 'NNP']","['how', 'far', 'be', 'holiday', 'world', 'to', 'hampton', 'inn', 'in', 'jasper', 'indiana']"
29054,0,What does the age of Aquarius mean to Aquarii? Do they notice any change?,what does the age of aquarius mean to aquarii do they notice any change,"['WP', 'VBZ', 'DT', 'NN', 'IN', 'NN', 'VB', 'IN', 'NNP', 'VBP', 'PRP', 'VB', 'DT', 'NN']","['what', 'do', 'the', 'age', 'of', 'aquarius', 'mean', 'to', 'aquarii', 'do', 'they', 'notice', 'any', 'change']"
38160,0,what causes crazing in tiles,what causes crazing in tiles,"['WP', 'VBZ', 'VBG', 'IN', 'NNS']","['what', 'cause', 'craze', 'in', 'tile']"
37436,0,what are spondylosis symptoms and signs,what are spondylosis symptoms and signs,"['WP', 'VBP', 'JJ', 'NNS', 'CC', 'NNS']","['what', 'be', 'spondylosis', 'symptom', 'and', 'sign']"
7461,0,who sang the original play your own kind of music,who sang the original play your own kind of music,"['WP', 'VBD', 'DT', 'NN', 'VB', 'PRP$', 'JJ', 'NN', 'IN', 'NN']","['who', 'sing', 'the', 'original', 'play', 'you', 'own', 'kind', 'of', 'music']"
38715,0,"what county is myrtle creek, or",what county is myrtle creek or,"['WDT', 'NN', 'VBZ', 'NN', 'NN', 'CC']","['what', 'county', 'be', 'myrtle', 'creek', 'or']"
11561,0,where is commerce georgia,where is commerce georgia,"['WRB', 'VBZ', 'NN', 'NNP']","['where', 'be', 'commerce', 'georgia']"
8818,0,who is the original singer of hotel california,who is the original singer of hotel california,"['WP', 'VBZ', 'DT', 'JJ', 'NN', 'IN', 'NN', 'NNP']","['who', 'be', 'the', 'original', 'singer', 'of', 'hotel', 'california']"
28679,0,What are the symptoms of narcissism? How badly can it affect an individual?,what are the symptoms of narcissism how badly can it affect an individual,"['WP', 'VBP', 'DT', 'NNS', 'IN', 'NN', 'WRB', 'RB', 'MD', 'PRP', 'VB', 'DT', 'NN']","['what', 'be', 'the', 'symptom', 'of', 'narcissism', 'how', 'badly', 'can', 'it', 'affect', 'a', 'individual']"
39909,0,what does filter sock do,what does filter sock do,"['WP', 'VBZ', 'NN', 'NN', 'VB']","['what', 'do', 'filter', 'sock', 'do']"
29124,0,What happened to thesixtyone.com?,what happened to thesixtyone com,"['WP', 'VBD', 'IN', 'NN', 'NN']","['what', 'happen', 'to', 'thesixtyone', 'com']"
24635,0,How can I apply to Harvard University?,how can i apply to harvard university,"['WRB', 'MD', 'PRP', 'VB', 'IN', 'NNP', 'NN']","['how', 'can', 'i', 'apply', 'to', 'harvard', 'university']"
39182,0,what do grizzlys eat,what do grizzlys eat,"['WP', 'VBP', 'RB', 'VB']","['what', 'do', 'grizzlys', 'eat']"
14666,0,how long do i have before i have to place license plates on vehicle,how long do i have before i have to place license plates on vehicle,"['WRB', 'RB', 'VBP', 'PRP', 'VB', 'IN', 'PRP', 'VBP', 'TO', 'VB', 'NN', 'NNS', 'IN', 'NN']","['how', 'long', 'do', 'i', 'have', 'before', 'i', 'have', 'to', 'place', 'license', 'plate', 'on', 'vehicle']"
17967,0,what does CVM promotion means,what does cvm promotion means,"['WP', 'VBZ', 'NN', 'NN', 'NNS']","['what', 'do', 'cvm', 'promotion', 'means']"
