sentence_id,words,labels
65,difficult,ASP
65,is,O
65,it,OBJ
65,compared,PRED
65,to,PRED
65,jee,OBJ
66,what,O
66,are,O
66,the,O
66,best,PRED
66,tools,OBJ
66,for,O
66,augmented,ASP
66,reality,ASP
66,development,ASP
68,what,O
68,is,O
68,the,O
68,coldest,PRED
68,temperature,OBJ
68,recorded,OBJ
68,in,OBJ
68,new,OBJ
68,york,OBJ
68,state,OBJ
69,what,O
69,are,O
69,the,O
69,best,PRED
69,books,OBJ
69,about,OBJ
69,churchill,OBJ
70,which,O
70,team,OBJ
70,has,O
70,won,O
70,the,O
70,most,PRED
70,nba,ASP
70,titles,ASP
73,who,OBJ
73,holds,O
73,the,O
73,record,O
73,for,O
73,the,O
73,farthest,PRED
73,home,ASP
73,run,ASP
74,what,O
74,is,O
74,the,O
74,difference,PRED
74,between,O
74,private,OBJ
74,equity,OBJ
74,fund,OBJ
74,and,O
74,venture,OBJ
74,capital,OBJ
74,fund,OBJ
74,exempt,OBJ
74,reporting,OBJ
74,adviser,OBJ
75,is,O
75,usa,O
75,the,O
75,most,PRED
75,powerful,ASP
75,country,OBJ
75,of,OBJ
75,the,OBJ
75,world,OBJ
76,who,O
76,is,O
76,the,O
76,longest,PRED
76,serving,ASP
76,member,OBJ
76,of,OBJ
76,the,OBJ
76,house,OBJ
76,in,OBJ
76,history,OBJ
77,talks,OBJ
77,vs,O
77,poster,OBJ
77,presentations,OBJ
77,which,O
77,is,O
77,better,PRED
77,for,O
77,advertising,ASP
77,your,ASP
77,research,ASP
77,and,ASP
77,building,ASP
77,research,ASP
77,networks,ASP
78,how,O
78,cold,O
78,can,O
78,the,O
78,gobi,OBJ
78,desert,OBJ
78,get,O
78,and,O
78,how,O
78,do,O
78,its,O
78,average,ASP
78,temperatures,ASP
78,compare,PRED
78,to,O
78,the,O
78,ones,O
78,in,O
78,the,O
78,great,OBJ
78,victoria,OBJ
78,desert,OBJ
79,what,O
79,is,O
79,a,O
79,major,O
79,difference,PRED
79,between,O
79,eukaryotic,OBJ
79,dna,OBJ
79,replication,OBJ
79,and,O
79,prokaryotic,OBJ
79,dna,OBJ
79,replication,OBJ
81,what,O
81,is,O
81,the,O
81,largest,PRED
81,district,OBJ
81,in,OBJ
81,sri,OBJ
81,lanka,OBJ
82,who,OBJ
82,holds,O
82,the,O
82,record,O
82,for,O
82,most,PRED
82,home,ASP
82,runs,ASP
82,in,ASP
82,major,ASP
82,league,ASP
82,baseball,ASP
84,what,O
84,are,O
84,the,O
84,good,PRED
84,programing,OBJ
84,sites,OBJ
84,for,OBJ
84,beginers,OBJ
85,what,O
85,are,O
85,the,O
85,best,PRED
85,websites,OBJ
85,in,OBJ
85,online,OBJ
85,jobs,OBJ
86,what,O
86,is,O
86,the,O
86,best,PRED
86,time,OBJ
86,of,OBJ
86,year,OBJ
86,to,O
86,cruise,ASP
86,the,ASP
86,western,ASP
86,caribbean,ASP
87,what,O
87,is,O
87,the,O
87,most,PRED
87,popular,ASP
87,mobile,OBJ
87,game,OBJ
87,in,OBJ
87,america,OBJ
89,when,O
89,is,O
89,the,O
89,best,PRED
89,time,OBJ
89,to,O
89,plant,ASP
89,grass,ASP
89,seed,ASP
89,in,ASP
89,the,ASP
89,northwest,ASP
90,where,OBJ
90,does,O
90,most,PRED
90,of,O
90,the,O
90,wood,ASP
90,come,ASP
90,from,ASP
91,do,O
91,employees,OBJ
91,at,OBJ
91,s,OBJ
91,t,OBJ
91,bank,OBJ
91,have,O
91,a,O
91,good,PRED
91,work,ASP
91,life,ASP
91,balance,ASP
91,does,O
91,this,O
91,differ,O
91,across,O
91,positions,O
91,and,O
91,departments,O
92,was,O
92,wonder,OBJ
92,woman,OBJ
92,the,O
92,first,PRED
92,woman,OBJ
92,superhero,OBJ
93,where,OBJ
93,are,O
93,most,PRED
93,of,O
93,the,O
93,world,ASP
93,s,ASP
93,earthquakes,ASP
93,located,ASP
95,what,O
95,are,O
95,some,PRED
95,lesser,ASP
95,known,ASP
95,sights,OBJ
95,to,OBJ
95,see,OBJ
95,when,O
95,visiting,O
95,bhatpara,O
95,india,O
96,what,O
96,s,O
96,so,O
96,special,ASP
96,about,O
96,prisma,OBJ
96,app,OBJ
97,what,O
97,do,O
97,the,O
97,different,PRED
97,pedals,OBJ
97,on,OBJ
97,a,OBJ
97,piano,OBJ
97,do,O
99,what,O
99,are,O
99,some,PRED
99,good,PRED
99,automotive,OBJ
99,hacks,OBJ
99,and,OBJ
99,tips,OBJ
100,what,O
100,are,O
100,the,O
100,benefits,PRED
100,of,O
100,a,O
100,immune,OBJ
100,booster,OBJ
100,juice,OBJ
102,what,O
102,is,O
102,the,O
102,worst,PRED
102,thing,OBJ
102,that,OBJ
102,could,OBJ
102,happen,OBJ
102,if,OBJ
102,donald,OBJ
102,trump,OBJ
102,becomes,OBJ
102,president,OBJ
103,what,O
103,are,O
103,some,PRED
103,of,O
103,the,O
103,best,PRED
103,real,OBJ
103,life,OBJ
103,examples,OBJ
103,of,OBJ
103,instant,OBJ
103,karma,OBJ
104,what,O
104,are,O
104,the,O
104,best,PRED
104,true,OBJ
104,scary,OBJ
104,stories,OBJ
105,what,O
105,is,O
105,longest,PRED
105,bike,OBJ
105,marathon,OBJ
107,what,O
107,are,O
107,the,O
107,books,OBJ
107,that,O
107,have,ASP
107,influenced,ASP
107,you,ASP
107,the,O
107,most,PRED
108,what,O
108,s,O
108,the,O
108,best,PRED
108,mistake,OBJ
108,you,OBJ
108,ve,OBJ
108,ever,OBJ
108,made,OBJ
109,what,O
109,is,O
109,ontario,OBJ
109,s,OBJ
109,motto,OBJ
109,and,OBJ
109,its,OBJ
109,significance,OBJ
109,how,O
109,does,O
109,it,O
109,compare,PRED
109,to,O
109,arizona,OBJ
109,s,OBJ
110,what,O
110,are,O
110,the,O
110,best,PRED
110,topics,OBJ
110,to,OBJ
110,write,OBJ
110,an,OBJ
110,article,OBJ
110,for,OBJ
110,your,OBJ
110,college,OBJ
110,annual,OBJ
110,magazine,OBJ
112,what,O
112,are,O
112,the,O
112,highest,PRED
112,grossing,ASP
112,malayalam,OBJ
112,movies,OBJ
112,of,O
112,all,ASP
112,time,ASP
112,wiki,O
113,what,O
113,is,O
113,the,O
113,fastest,PRED
113,way,OBJ
113,to,OBJ
113,create,OBJ
113,a,OBJ
113,yahoo,OBJ
113,account,OBJ
114,what,O
114,is,O
114,the,O
114,most,PRED
114,important,ASP
114,life,OBJ
114,lesson,OBJ
114,you,OBJ
114,ve,OBJ
114,learned,OBJ
114,so,OBJ
114,far,OBJ
116,what,O
116,is,O
116,the,O
116,difference,PRED
116,between,O
116,proc,OBJ
116,means,OBJ
116,and,O
116,summary,OBJ
117,which,O
117,is,O
117,the,O
117,best,PRED
117,internet,OBJ
117,service,OBJ
117,provider,OBJ
117,in,OBJ
117,dhanbad,OBJ
119,what,O
119,made,O
119,facebook,OBJ
119,wildly,O
119,more,PRED
119,successful,ASP
119,than,O
119,other,OBJ
119,social,OBJ
119,networking,OBJ
119,sites,OBJ
119,like,OBJ
119,orkut,OBJ
119,and,OBJ
119,myspace,OBJ
120,who,OBJ
120,will,O
120,win,PRED
120,fifa,ASP
120,world,ASP
120,cup,ASP
120,2018,ASP
121,who,O
121,is,O
121,the,O
121,best,PRED
121,actress,OBJ
121,to,O
121,play,O
121,the,O
121,role,O
121,of,O
121,sati,O
121,anandmayi,O
121,and,O
121,best,O
121,actor,OBJ
121,to,O
121,act,O
121,as,O
121,shiva,O
121,in,O
121,the,O
121,cinematization,O
121,of,O
121,immortals,O
121,of,O
121,meluha,O
122,what,O
122,are,O
122,the,O
122,countries,OBJ
122,with,O
122,the,O
122,largest,PRED
122,reserves,ASP
122,of,ASP
122,natural,ASP
122,gas,ASP
122,are,O
123,what,O
123,is,O
123,the,O
123,best,PRED
123,way,OBJ
123,to,OBJ
123,learn,OBJ
123,how,OBJ
123,to,OBJ
123,hack,OBJ
123,whitehat,O
124,should,O
124,i,O
124,join,O
124,tcs,OBJ
124,or,O
124,qainfotech,OBJ
126,what,O
126,is,O
126,the,O
126,difference,PRED
126,between,O
126,service,OBJ
126,and,O
126,bill,OBJ
126,rendered,OBJ
127,what,O
127,are,O
127,the,O
127,top,PRED
127,most,PRED
127,seo,OBJ
127,company,OBJ
127,in,OBJ
127,delhi,OBJ
128,is,O
128,the,O
128,softmax,OBJ
128,loss,OBJ
128,the,O
128,same,PRED
128,as,PRED
128,the,O
128,cross,OBJ
128,entropy,OBJ
128,loss,OBJ
131,graphic,OBJ
131,era,OBJ
131,university,OBJ
131,is,O
131,best,PRED
131,for,O
131,mba,ASP
131,or,ASP
131,jss,ASP
131,noida,ASP
132,who,O
132,became,O
132,the,O
132,first,PRED
132,spokesperson,OBJ
132,for,OBJ
132,non,OBJ
132,violent,OBJ
132,protests,OBJ
136,what,O
136,is,O
136,the,O
136,best,PRED
136,early,OBJ
136,morning,OBJ
136,habit,OBJ
136,for,O
136,success,ASP
138,what,O
138,is,O
138,the,O
138,difference,PRED
138,between,O
138,alcohol,OBJ
138,and,O
138,hydrogen,OBJ
138,peroxide,OBJ
139,which,O
139,is,O
139,better,PRED
139,haskell,OBJ
139,and,OBJ
139,lisp,OBJ
139,vs,O
139,haskell,OBJ
139,or,OBJ
139,lisp,OBJ
140,what,O
140,are,O
140,some,PRED
140,of,O
140,the,O
140,most,PRED
140,powerful,ASP
140,beautiful,ASP
140,greatest,PRED
140,single,OBJ
140,images,OBJ
140,in,OBJ
140,comics,OBJ
140,and,O
140,why,O
143,what,O
143,is,O
143,the,O
143,most,PRED
143,under,O
143,rated,ASP
143,pleasure,OBJ
144,what,O
144,are,O
144,the,O
144,best,PRED
144,thing,OBJ
144,about,OBJ
144,indians,OBJ
145,who,O
145,is,O
145,the,O
145,richest,PRED
145,man,OBJ
145,in,OBJ
145,india,OBJ
146,what,O
146,are,O
146,longest,PRED
146,winning,OBJ
146,streaks,OBJ
146,in,OBJ
146,major,OBJ
146,league,OBJ
146,baseball,OBJ
146,history,OBJ
147,what,O
147,is,O
147,the,O
147,best,PRED
147,way,OBJ
147,to,OBJ
147,spend,OBJ
147,a,OBJ
147,weekend,OBJ
147,in,OBJ
147,mumbai,OBJ
150,who,OBJ
150,won,O
150,the,O
150,first,PRED
150,men,ASP
150,s,ASP
150,ncaa,ASP
150,tournament,ASP
151,is,O
151,it,O
151,cheaper,PRED
151,and,O
151,or,O
151,easier,PRED
151,to,O
151,buy,OBJ
151,a,OBJ
151,cheap,OBJ
151,tent,OBJ
151,and,OBJ
151,sleeping,OBJ
151,bag,OBJ
151,in,OBJ
151,turkey,OBJ
151,or,O
151,bulgaria,OBJ
152,what,O
152,are,O
152,the,O
152,best,PRED
152,gmat,OBJ
152,coaching,OBJ
152,institutes,OBJ
152,in,OBJ
152,delhi,OBJ
152,ncr,OBJ
154,what,O
154,will,O
154,be,O
154,the,O
154,best,PRED
154,answer,OBJ
154,for,O
154,why,ASP
154,do,ASP
154,you,ASP
154,want,ASP
154,to,ASP
154,leave,ASP
154,your,ASP
154,current,ASP
154,organization,ASP
155,how,O
155,do,O
155,the,O
155,tourist,OBJ
155,attractions,OBJ
155,on,OBJ
155,the,OBJ
155,scandinavian,OBJ
155,highlands,OBJ
155,compare,PRED
155,to,O
155,attractions,OBJ
155,in,OBJ
155,luxembourg,OBJ
156,who,OBJ
156,has,O
156,the,O
156,most,PRED
156,money,ASP
156,on,ASP
156,shark,ASP
156,tank,ASP
156,australia,ASP
157,why,O
157,does,O
157,a,O
157,submarine,OBJ
157,implode,O
157,at,O
157,a,O
157,certain,O
157,depth,O
157,but,O
157,some,OBJ
157,marine,OBJ
157,life,OBJ
157,can,O
157,live,O
157,on,O
157,the,O
157,ocean,O
157,floor,O
157,in,O
157,the,O
157,deepest,PRED
157,oceans,ASP
157,without,O
157,being,O
157,crushed,O
160,who,OBJ
160,hit,O
160,the,O
160,most,PRED
160,home,ASP
160,runs,ASP
160,in,ASP
160,major,ASP
160,league,ASP
160,baseball,ASP
160,in,ASP
160,2002,ASP
161,who,OBJ
161,has,O
161,won,O
161,the,O
161,most,PRED
161,wimbledon,ASP
161,women,ASP
161,s,ASP
161,titles,ASP
162,what,O
162,is,O
162,the,O
162,difference,PRED
162,between,O
162,a,O
162,design,OBJ
162,exception,OBJ
162,and,O
162,a,O
162,design,OBJ
162,variance,OBJ
162,fdot,OBJ
163,which,O
163,is,O
163,the,O
163,best,PRED
163,book,OBJ
163,for,OBJ
163,data,OBJ
163,structures,OBJ
163,and,OBJ
163,algorithms,OBJ
163,for,OBJ
163,beginers,OBJ
164,who,O
164,has,O
164,the,O
164,best,PRED
164,customer,OBJ
164,service,OBJ
165,what,O
165,is,O
165,the,O
165,best,PRED
165,joke,OBJ
165,you,OBJ
165,ve,OBJ
165,ever,OBJ
165,heard,OBJ
165,please,O
165,keep,O
165,it,O
165,clean,O
166,where,OBJ
166,are,O
166,most,PRED
166,nitrogen,ASP
166,compounds,ASP
166,excreted,ASP
166,from,ASP
166,humans,ASP
170,what,O
170,are,O
170,some,PRED
170,good,PRED
170,topics,OBJ
170,to,OBJ
170,discuss,OBJ
170,in,OBJ
170,school,OBJ
170,for,OBJ
170,free,OBJ
170,period,OBJ
171,who,O
171,was,O
171,the,O
171,last,PRED
171,governor,OBJ
171,in,OBJ
171,the,OBJ
171,united,OBJ
171,states,OBJ
171,to,O
171,be,ASP
171,impeached,ASP
173,are,O
173,split,OBJ
173,genes,OBJ
173,primarily,PRED
173,found,ASP
173,in,ASP
173,prokaryotes,ASP
174,how,O
174,do,O
174,nude,OBJ
174,beaches,OBJ
174,in,OBJ
174,punta,OBJ
174,cana,OBJ
174,compare,PRED
174,to,O
174,other,OBJ
174,nude,OBJ
174,beaches,OBJ
174,in,O
174,barbados,O
176,what,O
176,is,O
176,the,O
176,difference,PRED
176,between,O
176,brandy,OBJ
176,and,O
176,whiskey,OBJ
177,what,O
177,is,O
177,the,O
177,difference,PRED
177,between,O
177,sleep,OBJ
177,and,O
177,meditation,OBJ
177,which,O
177,is,O
177,better,PRED
179,are,O
179,anglican,OBJ
179,and,O
179,church,OBJ
179,of,OBJ
179,england,OBJ
179,the,O
179,same,PRED
180,who,O
180,is,O
180,the,O
180,best,PRED
180,politician,OBJ
180,in,OBJ
180,the,OBJ
180,world,OBJ
180,why,O
181,i,O
181,want,O
181,to,O
181,buy,O
181,a,O
181,smartphone,OBJ
181,under,OBJ
181,rs,OBJ
181,14000,OBJ
181,which,O
181,has,O
181,good,O
181,performance,ASP
181,and,O
181,camera,ASP
181,quality,ASP
181,so,O
181,which,O
181,smartphone,O
181,should,O
181,i,O
181,buy,O
183,what,O
183,is,O
183,the,O
183,primary,PRED
183,function,OBJ
183,of,OBJ
183,the,OBJ
183,cabin,OBJ
183,pressurization,OBJ
183,system,OBJ
183,outflow,OBJ
183,valve,OBJ
184,should,O
184,i,O
184,have,O
184,my,O
184,funko,OBJ
184,pop,OBJ
184,toy,OBJ
184,signed,OBJ
184,or,O
184,just,OBJ
184,have,OBJ
184,the,OBJ
184,box,OBJ
184,signed,OBJ
185,where,O
185,s,O
185,the,O
185,best,PRED
185,place,OBJ
185,to,OBJ
185,see,OBJ
185,fall,OBJ
185,foliage,OBJ
185,in,OBJ
185,the,OBJ
185,bay,OBJ
185,area,OBJ
187,is,O
187,it,O
187,a,O
187,better,PRED
187,idea,O
187,to,O
187,buy,OBJ
187,oneplus3,OBJ
187,or,O
187,i,O
187,should,O
187,go,OBJ
187,for,OBJ
187,an,OBJ
187,short,OBJ
187,term,OBJ
187,phone,OBJ
187,which,OBJ
187,works,OBJ
187,for,OBJ
187,1,OBJ
187,2,OBJ
187,years,OBJ
188,who,O
188,was,O
188,the,O
188,first,PRED
188,woman,OBJ
188,elected,OBJ
188,to,OBJ
188,the,OBJ
188,us,OBJ
188,senate,OBJ
189,who,OBJ
189,has,O
189,the,O
189,most,PRED
189,pga,ASP
189,tour,ASP
189,wins,ASP
189,in,ASP
189,a,ASP
189,season,ASP
190,who,OBJ
190,has,O
190,scored,ASP
190,the,O
190,most,PRED
190,runs,ASP
190,in,ASP
190,mlb,ASP
190,history,ASP
192,what,O
192,are,O
192,the,O
192,most,PRED
192,common,ASP
192,traffic,OBJ
192,convictions,OBJ
192,in,OBJ
192,arkansas,OBJ
192,and,O
192,how,O
192,does,O
192,the,O
192,severity,O
192,of,O
192,the,O
192,convictions,O
192,differ,PRED
192,in,OBJ
192,colorado,OBJ
193,who,OBJ
193,has,O
193,the,O
193,fastest,PRED
193,slapshot,ASP
193,in,ASP
193,the,ASP
193,nhl,ASP
195,what,O
195,is,O
195,the,O
195,longest,OBJ
195,roller,OBJ
195,coaster,OBJ
195,in,OBJ
195,the,OBJ
195,united,OBJ
195,kingdom,OBJ
195,and,O
195,how,O
195,does,O
195,it,O
195,compare,PRED
195,to,O
195,the,O
195,longest,OBJ
195,roller,OBJ
195,coaster,OBJ
195,in,OBJ
195,singapore,OBJ
196,when,O
196,is,O
196,the,O
196,random,OBJ
196,forest,OBJ
196,better,PRED
196,than,O
196,decision,OBJ
196,tree,OBJ
198,what,O
198,is,O
198,a,O
198,good,PRED
198,laptop,OBJ
198,cooling,OBJ
198,pad,OBJ
199,how,PRED
199,much,PRED
199,protein,OBJ
199,should,O
199,i,O
199,take,O
199,per,ASP
199,day,ASP
199,for,ASP
199,working,ASP
199,out,ASP
200,what,O
200,is,O
200,the,O
200,best,PRED
200,certification,OBJ
200,course,OBJ
200,to,OBJ
200,learn,OBJ
200,digital,OBJ
200,marketing,OBJ
201,what,O
201,were,O
201,the,O
201,major,OBJ
201,effects,OBJ
201,of,OBJ
201,the,OBJ
201,cambodia,OBJ
201,earthquake,OBJ
201,and,O
201,how,O
201,do,O
201,these,O
201,effects,O
201,compare,PRED
201,to,O
201,the,O
201,peru,OBJ
201,earthquake,OBJ
201,in,OBJ
201,1687,OBJ
202,what,O
202,is,O
202,the,O
202,best,PRED
202,city,OBJ
202,for,O
202,holidays,ASP
202,in,ASP
202,india,ASP
204,what,O
204,are,O
204,some,PRED
204,interesting,ASP
204,things,OBJ
204,about,OBJ
204,indian,OBJ
204,railways,OBJ
205,what,O
205,s,O
205,the,O
205,difference,PRED
205,between,O
205,a,O
205,nucleotide,OBJ
205,and,O
205,a,O
205,nucleoside,OBJ
208,which,O
208,one,O
208,is,O
208,correct,PRED
208,it,OBJ
208,s,OBJ
208,no,OBJ
208,big,OBJ
208,deal,OBJ
208,it,OBJ
208,s,OBJ
208,not,OBJ
208,a,OBJ
208,big,OBJ
208,deal,OBJ
208,or,O
208,it,OBJ
208,s,OBJ
208,not,OBJ
208,big,OBJ
208,deal,OBJ
208,or,O
208,are,O
208,they,O
208,all,O
208,correct,O
209,which,O
209,sql,OBJ
209,iso,OBJ
209,install,ASP
209,per,ASP
209,core,ASP
210,what,O
210,are,O
210,some,O
210,best,PRED
210,revenge,OBJ
210,movies,OBJ
211,are,O
211,european,OBJ
211,white,OBJ
211,truffles,OBJ
211,significantly,O
211,superior,PRED
211,in,O
211,flavour,ASP
211,to,O
211,those,OBJ
211,from,OBJ
211,north,OBJ
211,america,OBJ
213,what,O
213,was,O
213,the,O
213,worst,PRED
213,thing,OBJ
213,that,OBJ
213,happened,OBJ
213,to,OBJ
213,you,OBJ
213,for,OBJ
213,being,OBJ
213,nice,OBJ
214,what,O
214,is,O
214,the,O
214,difference,PRED
214,pimenton,OBJ
214,ahumado,OBJ
214,vs,O
214,pimenton,OBJ
214,de,OBJ
214,la,OBJ
214,vera,OBJ
215,what,O
215,are,O
215,some,PRED
215,of,O
215,the,O
215,best,PRED
215,hindi,OBJ
215,short,OBJ
215,films,OBJ
216,what,O
216,phrases,OBJ
216,does,O
216,donald,ASP
216,trump,ASP
216,repeat,ASP
216,the,O
216,most,PRED
218,what,O
218,are,O
218,the,O
218,most,PRED
218,iconic,ASP
218,images,OBJ
219,what,O
219,is,O
219,the,O
219,highest,PRED
219,exporter,OBJ
219,of,O
219,natural,ASP
219,gas,ASP
219,in,ASP
